,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score
494,EXPS_ADMIN_OTHPRPCAS,00110,"Adminstrative Expenses, All other activities (i.e., life, accident and health, and hospital and medical service plans, including reinsurance)",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,43.8%
495,RCPT_ECOMMGT50_YES,00101,Did e-commerce account for more than 50% of this establishment's sales and/or operating receipts?,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",43.7%
496,CAPEX_CO_VAL,00321,Total Capital Expenditures for Company,Capital Stock and Other Capital      321 Capital Stock and Other Capital Capital Stock and Other Capital Capital stock and other capital                   00321,43.7%
497,COST10,00103,How many units available at tenth cost?,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,43.7%
498,EMP_MAR12_NONPRDWRK_NUM,00110,Nonproduction Worker Employment,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,43.7%
499,OPSTAT_ADDR_CITY,00031,"Operational Status,  New owner/operator,  City, town, village, etc.",Corp status active/discontinued/merged Corporation Status Active/Discontinued/Merged Corporation Status Active/Discontinued/Merged Corporation Status                                00031,43.6%
500,RCPT_COMSN_GRSELL,00101,Gross selling value of goods sold on a commission basis,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",43.6%
501,AFFIL_OWNER_GT50_STAT,00041,Ownership or Control: Voting Stock Status,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes Owned by more than 50%                            00041,43.6%
502,RCPT_SYSOFT_PUB_VAL,00101,Total System Software Publishing Revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",43.6%
503,RCPT_BILL_PAY_DVAL,PPAY,Gross Billings x Payroll Services,Prior quarter payroll from br nan nan nan,43.6%
504,RCPT_CLIENT_F_TOT_PCT,00206,"Class of Customer, Total Financial",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,43.6%
505,NPATREV_OTHER_OP,00107,All other non-patient care operating  revenue,Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income Other recurring nonoperating income               00107,43.6%
506,EXPS_ADMIN_LIFE,00110,"Adminstrative Expenses,  Life insurance and annuities",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,43.6%
507,EXPS_CON_PCT_TOT1,00110,"Expenditures incurred,  Total type of buildings",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,43.6%
508,AFFIL_OWNER_ADDR_CITY,00041,"City, town, village, etc. of the owning or controlling company",Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes Owned by more than 50%                            00041,43.5%
509,AFFIL_CONTROL,00051,Does another domestic company have the power to control the management and policies of your company?,Own another company-YES/NO Own another company - Yes/No Own another Company-yes/no Does this corp own more than 50% of another       00051,43.5%
510,EXPS_CON_PCT_RES,00110,"Expenditures incurred,  Residential buildings",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,43.5%
511,CAPEX_OTH_NEW_VAL,00326,Capital Expenditures: Other new - total,Capital Stock and Other Capital      326 Capital Stock and Other Capital Capital Stock and Other Capital Capital stock and other capital                   00326,43.5%
512,INV_VAL_STD_END,00218,"Inventories by Valuation Method, Standard Cost, End of Year","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",43.4%
513,SUBMIT_DATE,00402,Date for Data Submitted,statement of income ending date      402 nan staement of income ending date Statement of Income-- TO date (YYYYMMDD)          00402,43.4%
514,INCOM_UNIT_BROK_TOT_PCT,00101,"Brokering and Dealing Products,  Total income","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",43.4%
515,EMP_MAR12_NUM_SUM,00402,"Sum estabs Employment to KAU_x000D_
Sum KAU employment to Company",statement of income ending date      402 nan staement of income ending date Statement of Income-- TO date (YYYYMMDD)          00402,43.4%
516,BUS_TECH_SER_ROB_DNK_ARCHIVE,00001,Yes/No/Do not know for Business Technology E,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,43.3%
517,CAPEX_USED_TOT,00326,"Capital Expenditures, Used  Buildings and Machinery Total",Capital Stock and Other Capital      326 Capital Stock and Other Capital Capital Stock and Other Capital Capital stock and other capital                   00326,43.3%
518,EXPS_REPAIR_YES_ARCHIVE,00031,"Was this consolidated reporting unit involved in maintenance and repair of buildings, structures, or communication lines owned by your enterprise?",Corp status active/discontinued/merged Corporation Status Active/Discontinued/Merged Corporation Status Active/Discontinued/Merged Corporation Status                                00031,43.2%
519,RCPT_S_MERCH_GT50,00101,Did the sale of merchandise account for more than half of the total receipts of this establishment?,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",43.2%
520,AFFIL_FOR_ADDR_CNTRY_TXT,00041,Foreign Ownership or Control: Country,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes Owned by more than 50%                            00041,43.2%
521,RCPT_DIR_ONLINE_PCT,00101,"Source of directories, databases, and other collections of information Revenue: Online","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",43.2%
522,EXPS_CON_PCT_NEW_TOT,00103,"Expenditures incurred,  Type of Construction,  Total",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,43.2%
523,CAPEX_COMPTR_VAL,00103,Capital Expenditures: Machinery - computers,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,43.2%
524,EMP_MAR12_ACCT,00110,"Employment By Primary Occupation, Accounting, billing, tax preparation, and bookkeeping",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,43.2%
525,PRCH_REPAIR_MACH,00216,"Purchased maintenance and repair of construction equipment and tools; machinery; office equipment, furniture, and vehicles, including related service contracts",Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,43.1%
526,MERCH_CONTR_FOR_PCT,00061,"Merchandise Sales,  Products manufactured for this establishment by other companies on a contract basis OR manufactured by your company's foreign plants",Number of Subsidiary corps Number of Subsidiary Corporations Number of Subsidiary Corporations How many domestic and foreign corporations are    00061,43.1%
527,DIRECT_PREM_VEHPC_INS,00110,"Direct Premiums Earned,  Vehicle property and liability (casualty) insurance",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,43.1%
528,EXPS_ADMIN_PRDPC_INS,00110,"Adminstrative Expenses, Product liability insurance",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,43.1%
529,EMP_MAR12_HLTHOTH,00110,"Employment By Occupation, All other health care employees_x000D_
(Include management and administrative staff.)",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,43.1%
530,EMP_MAR12_PRDWRK_PY,P2PAY,"First  Quarter Employment,  Production Workers  Prior Year",Prior Prior quarter payroll from BR nan nan nan,43.1%
531,TOTU4INT4,00219,"Total Condo Units, Fourth Intv","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",43.1%
532,AFFIL_CONTROL_STAT,00041,Ownership or Control: Management and Policy Status,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes Owned by more than 50%                            00041,43.0%
533,AFFIL_OWNER_ADDR_STREET_TXT,00041,Ownership or Controlling Company: Mailing Address,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes Owned by more than 50%                            00041,43.0%
534,RPCP,00035,Reported SOC Completion Date,Merged Date Merged Date Merged Date Corporation Status of MERGED Date (YYYYMMDD)      00035,43.0%
535,EMP_MAR12_NUM,00110,Employment: Q1,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,43.0%
536,RCPT_NONOP_GIFTS_VAL,00107,"Non-operating revenue from contributions, gifts, and grants",Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income Other recurring nonoperating income               00107,43.0%
537,AIES_TAX_STATUS,00110,"Whether estab is Exempt (1), No Exempt (2), or Add (3)",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,43.0%
538,COST_MAT_PARTS,00216,"Materials, parts, containers, packaging, supplies, etc. used for manufacturing processes, repairs, services for others, or other operating supplies",Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,43.0%
539,TOTU4INT3,00219,"Total Condo Units, Third Intv","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",43.0%
540,PREV_OWNER_YEAR,00044,Year acquired from Former Owner or operator,EI of company who owns EI of company who owns EI of company who owns Federal EI of Company that owns more than 50%     00044,42.9%
