,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Cosine Score,Jaccard Score
973,MSC_CONTRACT_TOT,00104,What were the total receipts for contract work performed for others on their materials?,Income (loss) from Operation,35.37%,41.61%,0.00%
974,ASSISTANCE,00327,Management provides assistance with managing finances,Stockholders Equity,35.33%,41.56%,0.00%
975,JOINT_COMPANY_ADDR_ZIP_3,00327,Investors: ZIP Code of Company Investor 3,Stockholders Equity,35.32%,41.55%,0.00%
976,INCOM_UNIT_CRED_TOT_PCT,00223,"Credit Card Products,  Total",Total Assets,35.31%,38.01%,20.00%
977,EXPS_BENEFIT_LIFE,00314,"Benefits Paid, Life insurance and annuities",All Other Current Liabilities.,35.26%,41.49%,0.00%
978,FIELD_REP_ID,00022,Field Representative ID (FRID),Employer Identification Number,35.24%,41.46%,0.00%
979,RENT_PAY_AUX_BUILD,00110,"Auxiliary establishments,  Lease and rental payments for land, buildings, structures, store spaces, and offices",Nonoperating expenses and income,35.22%,41.44%,0.00%
980,RCPT_EXCISE_INCL,00110,Are excise taxes included in sales and receipts?,Nonoperating expenses and income,35.21%,41.43%,0.00%
981,RCPT_PRDSHIP_HOUSE,00211,"Value of product shipped by customer in Puerto Rico,  Household consumers",Trade Receivables from the U.S. Government,35.21%,41.43%,0.00%
982,CLASS_GOV_COMWLTH,00207,"Class of Customer,  Commonwealth government",State and Local Government Securities,35.19%,38.46%,16.67%
983,MERCH_EST_NEW_2_PCT,00117,Approximate percentage of the total sales and receipts in current year - write-in #2,Cumulative Effect of Accounting Changes,35.19%,41.40%,0.00%
984,EXPS_MACH_REP_VAL,00216,"Rent payments, machinery",Plant and Equipment,35.18%,41.39%,0.00%
985,RCPT_TOT_HOTEL_OWN_VAL,00104,Hotels owned or leased: Revenue,Income (loss) from Operation,35.17%,41.37%,0.00%
986,CERT_DATE_COMPLETED,00021,"Certification, Calendar date survey was completed",Closing date,35.17%,38.44%,16.67%
987,NUMUNITSU2,00223,Total Number of Furnished units,Total Assets,35.13%,37.81%,20.00%
988,PAT_CARE_OTHER_PCT,00314,"Patient Care, Other, including health facility services, such as provisions of space and equipment, meals, nursing care, etc.",All Other Current Liabilities.,35.10%,41.29%,0.00%
989,RCPT_MOTR_AGR_PCT,00214,Analysis of Motor Carrier Operations: Agricultural products,Inventories,35.10%,41.29%,0.00%
990,RCPT_C_ST_MA,00207,"Construction Work by State,  Massachusettes",State and Local Government Securities,35.08%,38.33%,16.67%
991,RCPT_CLIENT_S_OTHAUXORG,00044,"Class of Customer,  All other business firms and farms",EI of company who owns,35.08%,41.28%,0.00%
992,COST_RESALE_PY,00034,Products bought and sold as such without further processing  Prior Year,Discontinued Date,35.07%,41.26%,0.00%
993,EMP_SUM_AVGOTH_PY,00117,Manufacturing:  Sum of Average Annual Production Workers and Other non production employees   Prior Year,Cumulative Effect of Accounting Changes,35.06%,41.25%,0.00%
994,RCPT_ECOMM_TOT_PCT,00104,"Percent of total sales, shipments, receipts, or revenue that were a result of e-commerce transactions",Income (loss) from Operation,35.06%,41.25%,0.00%
995,PRCH_AUX_TRANS,00110,"Auxiliary establishment, Purchased transportation",Nonoperating expenses and income,35.05%,41.23%,0.00%
996,BEDNONEU4,00084,Total Efficiencies for Type 4,EI for addition 4,35.03%,41.21%,0.00%
997,RCPT_CLIENT_S_TOT_PCT,00328,"Class of Customer,  Total Services",Total Laibilities and Stockholders Equity,35.02%,37.67%,20.00%
998,CLASS_R_RESALE,00214,"Class of Customer,  Retailers for resale",Inventories,35.01%,41.19%,0.00%
999,ROBOT_CAPEX_PY,00321,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs  Prior Year",Capital Stock and Other Capital,35.00%,39.99%,6.67%
1000,RCPT_BILL_PAY_DVAL,00110,Gross Billings x Payroll Services,Nonoperating expenses and income,35.00%,41.18%,0.00%
1001,PRCH_ENT_ADVERT,00110,"Enterprise payments for other establishments,  Purchased advertising and promotional services",Nonoperating expenses and income,34.99%,41.16%,0.00%
1002,PRCH_AUX_ADVERT,00110,"Auxiliary establishment, purchased advertising and promotional services",Nonoperating expenses and income,34.98%,41.16%,0.00%
1003,TOTU1INT1,00223,"Total UnFurn Units, First Intv",Total Assets,34.97%,37.61%,20.00%
1004,PHYSLOC_LGL_STAT,00217,"Legal Boundary; City, town",Land and Mineral Rights,34.96%,41.13%,0.00%
1005,FOOD_MEALPRICE_GT50,00115,"Indicates the estimated average price per meal, excluding taxes and tip.",Net income (loss),34.93%,41.10%,0.00%
1006,ENT_SIZE_CODE_TXT,00022,"Side indicator for MU Enterprise:  'L' = ENT has 5000+ employees, 'M' = ENT has 1000-4999 employees, 'N' = ENT has 10+ estabs OR 50+ employees and is not an L or M ENT, 'S' - All other ENTs that are not identified as a L, M, or N.",Employer Identification Number,34.93%,41.09%,0.00%
1007,VALUE_ADDED_DVAL,00117,"Value Added formula from ASM/EC mfg, uses the recently created derived 'total costs'  Additions and Subtractions can be sequenced differently if needed",Cumulative Effect of Accounting Changes,34.93%,41.09%,0.00%
1008,HOUSE_SNGL_ATTACH_SALE,00217,"Houses built for sale on land you owned,  Number of Attached (single-family homes separated by an unbroken ground to roof wall with separate utility meters: townhomes, duplexes, row-homes)",Land and Mineral Rights,34.92%,40.32%,4.35%
1009,HOUSE_MULT_BUILD,00061,"Multifamily homes started,  Number of Multifamily Buildings (apartment/condominium complexes)",Number of Subsidiary Corporations,34.92%,39.12%,11.11%
1010,PRCH_TRANS_COST_WATER,00214,"Purchased Transportation,  Water carrier",Inventories,34.91%,41.07%,0.00%
1011,ELECTRONIC_BATCHID,00022,The electronic batch identification for the file,Employer Identification Number,34.88%,38.09%,16.67%
1012,RCPT_CLIENT_U_TOT_PCT,00105,"Class of Customer,  Total Utilities",Interest Expense,34.88%,41.04%,0.00%
1013,RCPT_C_ST_MD,00207,"Construction Work by State,  Maryland",State and Local Government Securities,34.87%,38.08%,16.67%
1014,MRCH_NONMERCH_SALES_DVAL,00110,non-merchandise sales derived estimate,Nonoperating expenses and income,34.84%,40.98%,0.00%
1015,OPSTAT_SY_STAT,00031,Operational Status: Survey year activity,Corporation Status Active/Discontinued/Merged,34.80%,38.98%,11.11%
1016,EMP_MAR12_NUM,00022,Employment: Q1,Employer Identification Number,34.79%,40.93%,0.00%
1017,PROD_WRTIN_9000000003,00107,"The description for Other revenue, not elsewhere classified based on specific template category",Other Recurring Non-operating Income,34.78%,40.92%,0.00%
1018,RCPT_OVERTOP_UNBUN_PCT,00107,Percentage of receipts for over-the-top (OTT) services from “unbundled” or “stand alone” services.,Other Recurring Non-operating Income,34.76%,40.89%,0.00%
1019,PRCH_DATAPROC_PY,00117,Data processing and other purchased computer services   Prior Year,Cumulative Effect of Accounting Changes,34.75%,40.88%,0.00%
1020,SERVICES_EXPORTED_Y,00208,"Did this establishment provide services to foreign businesses in $$00 (that is, exported services)?",Foreign Securities,34.73%,38.66%,12.50%
1021,RCPT_INTELPH_UNBUN_PCT,00110,Percentage of receipts for internet telephone services from “unbundled” or “stand alone” services.,Nonoperating expenses and income,34.73%,40.86%,0.00%
1022,PAY_ANN_VAL,00223,Annual Payroll,Total Assets,34.70%,40.82%,0.00%
1023,PAY_ANN_VAL,00223,Annual payroll,Total Assets,34.70%,40.82%,0.00%
1024,EXPS_FUEL_TRANSP_VAL,00214,Purchased Fuels for Transportation Equipment,Inventories,34.69%,40.81%,0.00%
1025,RCPT_MOTR_METAL_DVAL,00104,Base Metal and Machinery motor carrier revenue,Income (loss) from Operation,34.67%,40.79%,0.00%
1026,PRCH_ENT_PROFSVC,00044,"Enterprise payments for other establishments,  purchased professional and technical services",EI of company who owns,34.67%,40.79%,0.00%
1027,EXPS_PROGPROD_VAL,00216,Program and Production Costs,Plant and Equipment,34.64%,40.76%,0.00%
1028,PROD_QTYPRD_FULLER_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of fuller's earth mined and/or basically prepared for transport at this mine or pit",Land and Mineral Rights,34.62%,40.72%,0.00%
1029,PGM_TYPE1,00305,First Subsidy Program,Advances and Prepayments by the US GOV,34.61%,40.72%,0.00%
1030,MERCH_EST_NEW,00214,"Did this establishment sell ""new"" merchandise, excluding parts installed in repair work, in $$00?",Inventories,34.59%,40.70%,0.00%
1031,RCPT_PRDSHIP_CLASS_TOT,00211,"Value of product shipped by customer in Puerto Rico,  Total",Trade Receivables from the U.S. Government,34.58%,40.69%,0.00%
1032,DATE_BUILT,00216,"Steel Mill Operations, Date this establishment was built",Plant and Equipment,34.57%,40.67%,0.00%
1033,RCPT_NEWS_PRNT_DVAL,00104,Print newspapers revenue,Income (loss) from Operation,34.56%,40.66%,0.00%
1034,CLASS_GENLINE_COOP,00214,"Class of Customer,  Which general line grocery wholesaler is this establishment?",Inventories,34.55%,40.65%,0.00%
1035,RCPT_SVCSTA_VALUE,00328,"Value of transfers to other company-owned gasoline stations, fuel oil dealers, and liquefied petroleum (LP) gas dealers",Total Laibilities and Stockholders Equity,34.55%,40.64%,0.00%
1036,RCPT_COMSN_AVG_RATE_PCT,00105,Commissions and Fees: Average Commission Rate,Interest Expense,34.53%,40.62%,0.00%
1037,EXPS_RENT_MACH_VAL,00216,"Lease and Rental Payments for Machinery, Equipment, and Other Tangible Items",Plant and Equipment,34.53%,38.41%,12.50%
1038,CLASS_FISHCAN,00214,"Class of Customer,  Fish canning manufacturers",Inventories,34.51%,40.60%,0.00%
1039,RCPT_BOOK_OTH_DVAL,00107,other media books revenue,Other Recurring Non-operating Income,34.48%,40.56%,0.00%
1040,PROD_QTYPRD_SAND_NONE,00217,"None for the question: If MINE_HERE = 1, report the construction sand and gravel (run of pit or bank, washed, screened, or otherwise treated) mined at this mine or pit",Land and Mineral Rights,34.47%,40.56%,0.00%
1041,RCPT_PRDSHIP_R,00211,"Value of product shipped by customer in Puerto Rico,  Retailers",Trade Receivables from the U.S. Government,34.46%,40.54%,0.00%
1042,PRCH_ENT_COMMSVC,00044,"Enterprise payments for other establishments,  purchased communication services",EI of company who owns,34.44%,40.52%,0.00%
1043,RCPT_MOTR_AGR_DVAL,00214,Agricultural Products motor carrier revenue,Inventories,34.43%,40.50%,0.00%
1044,CLASS_INDPRD,00001,"Class of Customer,  Manufacturing and mining industrial users for use as input goods in production",Is this your company's industry - yes/no,34.42%,40.49%,0.00%
1045,PREV_OWN_ADDR_STREET_TXT,00041,New Establishment: Former Ownership Street,Owned by another company - No/Yes,34.39%,40.46%,0.00%
1046,RENT_PAY_TOT_PY,00314,"Payments for Rental or lease of buildings, other structures, machinery, and equipment Total Prior Year",All Other Current Liabilities.,34.37%,40.44%,0.00%
1047,RCPT_CLIENT_S_RET,00214,"Class of Customer, Retailers",Inventories,34.36%,40.42%,0.00%
1048,RCPT_DIR_PRNT_PCT,00214,"Source of directories, databases, and other collections of information Revenue: Print",Inventories,34.35%,40.41%,0.00%
1049,PROD_TYPE_WRTIN_9000000024,00217,The trade for products and services manufactured or mined,Land and Mineral Rights,34.34%,40.40%,0.00%
1050,RCPT_CONTRACT_FED,00211,"Contract Work done by customer in Puerto Rico,  Federal government",Trade Receivables from the U.S. Government,34.34%,38.44%,11.11%
1051,PAY_ANN_VAL_SUM,00118,"Sum estabs payroll to KAU_x000D_
Sum KAU payroll to Company",Net Income (loss) for Quarter,34.34%,40.40%,0.00%
1052,RCPT_NEWS_OTH_PCT,00107,Source of Newspaper Revenue: Other media,Other Recurring Non-operating Income,34.34%,40.39%,0.00%
1053,DIRECT_PREM_TOT,00104,"Direct Premiums Earned,  Total",Income (loss) from Operation,34.34%,40.40%,0.00%
1054,EMP_MAR12_ACCT,00107,"Employment By Primary Occupation, Accounting, billing, tax preparation, and bookkeeping",Other Recurring Non-operating Income,34.33%,40.39%,0.00%
1055,OWNSTAT_RACE_HAWAII,00041,Race of majority ownership - Is the race of the majority ownership of this establishment Native Hawaiian?,Owned by another company - No/Yes,34.32%,40.38%,0.00%
1056,RCPT_PRDSHIP_FOREIGN,00208,"Value of product shipped by customer location, other foreign places",Foreign Securities,34.32%,37.86%,14.29%
1057,PHYSLOC_MUNI_STAT,00217,Legal Boundary: Municipality type,Land and Mineral Rights,34.31%,40.37%,0.00%
1058,EXPS_BENEFIT_HOMEPC_INS,00314,"Benefits Paid, Homeowners multiple peril insurance",All Other Current Liabilities.,34.30%,40.35%,0.00%
1059,RCPT_BOOK_PRNT_PCT,00104,Source of Book Revenue: Print,Income (loss) from Operation,34.23%,40.26%,0.00%
1060,RCPT_OWN_VAL,00104,Commissions and Fee: Product sales,Income (loss) from Operation,34.22%,40.25%,0.00%
1061,RCPT_LEISURE_DVAL,00107,leisure  revenue,Other Recurring Non-operating Income,34.21%,40.25%,0.00%
1062,INTERVIEW_DATE,00035,Interview Completion Date forwarded from SOC,Merged Date,34.21%,37.31%,16.67%
1063,EMP_MAR12_TRUCKWARE,00214,"Employment By Occupation, Trucking and warehousing",Inventories,34.19%,40.22%,0.00%
1064,GRANTS_TRANSFERS_YES,00031,"Did this establishment do any of the following:  Award grants, Make gifts or contributions, Make payments to, or on behalf of, specific individuals,  Pay assessments (dues) to the parent or other chapters of the same organization, or Transfer funds raised by this establishment to charities or other organizations for charitable purposes?",Corporation Status Active/Discontinued/Merged,34.19%,40.22%,0.00%
1065,NAPCS_BLTOT,00082,(sum of the BL by ID),EI for addition 2,34.18%,40.21%,0.00%
1066,ROOM_RENT_TOT,00223,"Accomodations,  Number of rooms, units, or quarters Total",Total Assets,34.18%,37.69%,14.29%
1067,RCPT_FOOD_CNTRC_TOT,00223,"Contract Feeding,  Total",Total Assets,34.18%,35.80%,25.00%
1068,PROD_QTYPRD_FIRCLY_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of fire clay mined and/or basically prepared for transport at this mine or pit",Land and Mineral Rights,34.17%,40.20%,0.00%
1069,PAT_CARE_LAB_IND_PCT,00110,"Patient Care, Laboratory services paid by individuals, insurers, or government payers, such as Medicare and Medicaid",Nonoperating expenses and income,34.17%,40.20%,0.00%
1070,EMP_MAR12_CAO,00022,"Employment By Occupation, General support of other establishments in your company - including central administrative, accounting, research, and other support employees",Employer Identification Number,34.17%,40.20%,0.00%
1071,RCPT_OTH_GOVPROG_VAL,00110,Net patient revenues from government payers: All other government programs,Nonoperating expenses and income,34.16%,40.18%,0.00%
1072,NAICS_NUM,00107,Primary Business or Activity: NAICS Code,Other Recurring Non-operating Income,34.16%,40.18%,0.00%
1073,CLASS_TOT_PCT,00104,"Class of Customer,  Total",Income (loss) from Operation,34.15%,40.18%,0.00%
1074,ENT_ID,00022,BR ID for the sampled company. MU = EMPUNIT_ID of the parent enterprise. SU= EMPUNIT_ID of the establishment.,Employer Identification Number,34.14%,40.17%,0.00%
1075,RCPT_C_ST_IL,00207,"Construction Work by State,  Illinois",State and Local Government Securities,34.13%,37.21%,16.67%
1076,TOTU2INT4,00223,"Total Furn Units, Fourth Intv",Total Assets,34.12%,37.20%,16.67%
1077,SPACE_SELL,00223,Total under-roof selling space,Total Assets,34.10%,36.59%,20.00%
1078,EMP_MAR12_RD_TECH,00001,"Employment By Occupation, Research and Development, Technicians or technologists",Is this your company's industry - yes/no,34.09%,40.10%,0.00%
1079,EXPS_BUILD_REP_VAL,00314,"Purchased Repairs and Maintenance to Buildings, Structures, and Offices",All Other Current Liabilities.,34.09%,40.11%,0.00%
1080,PREV_OWN_STAT,00217,New Establishment Acquisition,Land and Mineral Rights,34.08%,40.09%,0.00%
1081,RCPT_MEDICARE_VAL,00211,Net patient revenues from government payers: Medicare,Trade Receivables from the U.S. Government,34.06%,37.87%,12.50%
1082,PAY_ANN_NONPRDWRK_VAL,00107,Annual Payroll - Nonproduction Workers,Other Recurring Non-operating Income,34.05%,40.06%,0.00%
1083,RCPT_ECOMM_FDBRWN_VAL,00214,"Electronic Commerce (e-commerce) - Food, beer & wine",Inventories,34.04%,40.05%,0.00%
1084,RCPT_BOOK_OTH_PCT,00107,Source of Book Revenue: Other media,Other Recurring Non-operating Income,34.04%,40.05%,0.00%
1085,PRCH_TRANS_COST_RAIL,00214,"Purchased Transportation,  Railroad",Inventories,34.02%,40.02%,0.00%
1086,RCPT_CUST_BUS_GOV_PCT,00104,"Class of Customer: Total Revenue,Business and Government",Income (loss) from Operation,34.02%,40.02%,0.00%
1087,CLASS_W_RESALE,00214,"Class of Customer,  Wholesalers/distributors for resale",Inventories,34.02%,40.03%,0.00%
1088,EMP_PREC,00216,"Selected MetalWorking Employment,  Precision turned products (on screw machines, turning centers, and CNC equipment)",Plant and Equipment,33.99%,38.63%,7.69%
1089,PHYSLOC_ADDR_NAME1_TXT,00022,New Establishment Physical Address: Name1,Employer Identification Number,33.99%,39.98%,0.00%
1090,PROD_QTYPRD_AUG_OUT_W,00105,"The total amount  of charges for auger, culm bank, silt bank, or dredge mined by outside contractor ",Interest Expense,33.98%,39.98%,0.00%
1091,EXPS_BENEFIT_AH,00314,"Benefits Paid, Health insurance and hospital and medical service plans",All Other Current Liabilities.,33.98%,39.97%,0.00%
1092,PAT_CARE_DIA_IND_PCT,00314,"Patient Care, Diagnostic imaging services paid by individuals, insurers, or government payers, such as Medicare and Medicaid",All Other Current Liabilities.,33.97%,39.97%,0.00%
